Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
obese,female,pescatarian,more frequently,electricity,public,,never,146,never,661,extra large,5,1,8,24,Yes,"['Paper', 'Plastic', 'Metal']",['Microwave'],1057
normal,female,pescatarian,less frequently,wood,public,,sometimes,102,frequently,1856,medium,6,24,23,23,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1757
underweight,female,vegetarian,daily,electricity,public,,never,125,very frequently,875,small,7,9,45,20,No,['Glass'],"['Oven', 'Microwave']",2192
normal,male,vegetarian,less frequently,coal,walk/bicycle,,often,82,frequently,63,large,5,17,27,2,Yes,"['Paper', 'Plastic', 'Metal']",['Stove'],2148
overweight,female,pescatarian,more frequently,natural gas,private,hybrid,never,132,never,7092,medium,4,2,40,0,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2319
overweight,female,vegetarian,more frequently,electricity,public,,never,142,rarely,579,extra large,3,14,19,5,Yes,[],['Stove'],1231
overweight,male,pescatarian,twice a day,wood,public,,sometimes,50,frequently,1886,large,1,15,23,23,Yes,"['Paper', 'Glass']","['Stove', 'Microwave']",1962
underweight,male,vegetarian,daily,natural gas,public,,sometimes,85,frequently,248,large,1,15,11,10,Sometimes,['Metal'],"['Grill', 'Airfryer']",1478
underweight,female,omnivore,daily,coal,public,,sometimes,222,very frequently,1946,large,1,0,43,9,Sometimes,['Paper'],['Stove'],2542
obese,male,vegetarian,more frequently,electricity,public,,often,191,never,1024,extra large,2,9,1,9,No,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1059
overweight,female,pescatarian,daily,electricity,public,,often,247,rarely,1590,medium,2,10,18,6,Yes,['Glass'],['Microwave'],1216
normal,female,pescatarian,daily,electricity,public,,often,111,never,870,large,3,18,46,22,Sometimes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1314
overweight,male,vegan,twice a day,natural gas,public,,sometimes,225,rarely,1118,small,5,16,48,22,Sometimes,['Paper'],['Oven'],2028
normal,female,omnivore,daily,coal,public,,never,161,very frequently,60,large,5,6,2,23,Sometimes,"['Plastic', 'Glass']",['Microwave'],2462
normal,male,omnivore,twice a day,coal,private,diesel,often,115,very frequently,2956,small,2,10,37,24,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3446
underweight,male,vegan,daily,wood,walk/bicycle,,sometimes,75,never,79,small,7,10,40,23,Sometimes,"['Plastic', 'Glass']",[],1385
normal,female,omnivore,daily,natural gas,public,,often,212,frequently,1082,small,5,1,20,3,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1654
overweight,female,vegan,less frequently,natural gas,public,,sometimes,81,rarely,1602,small,4,7,18,23,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1184
obese,male,omnivore,daily,electricity,private,hybrid,sometimes,105,very frequently,7567,small,6,20,35,8,Yes,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",4377
overweight,female,vegan,less frequently,natural gas,walk/bicycle,,never,173,rarely,78,extra large,5,9,13,3,No,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1494
normal,male,vegetarian,twice a day,natural gas,private,diesel,sometimes,126,frequently,3589,small,5,3,30,0,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],2422
underweight,female,vegan,more frequently,wood,walk/bicycle,,often,124,never,80,small,1,6,34,23,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",1187
obese,male,vegan,twice a day,electricity,walk/bicycle,,sometimes,58,very frequently,2,medium,5,9,5,19,No,['Glass'],"['Stove', 'Oven']",2673
normal,female,vegetarian,twice a day,electricity,walk/bicycle,,sometimes,91,never,56,medium,7,12,34,12,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1095
overweight,female,pescatarian,less frequently,coal,private,electric,never,254,frequently,8180,large,3,8,17,0,Sometimes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",1948
underweight,male,omnivore,more frequently,electricity,public,,sometimes,119,very frequently,25,medium,6,8,18,5,No,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2427
overweight,male,vegetarian,more frequently,coal,walk/bicycle,,often,265,never,99,small,7,7,22,0,Yes,"['Paper', 'Glass', 'Metal']",['Microwave'],1486
obese,female,omnivore,less frequently,coal,private,hybrid,often,243,never,2024,medium,5,2,25,23,Sometimes,['Metal'],"['Stove', 'Oven']",2417
underweight,female,pescatarian,twice a day,coal,private,hybrid,sometimes,209,very frequently,5583,medium,2,2,43,0,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2982
normal,female,vegan,more frequently,natural gas,walk/bicycle,,often,272,frequently,1,large,4,15,28,5,Sometimes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",1687
underweight,female,omnivore,more frequently,coal,walk/bicycle,,sometimes,128,very frequently,54,extra large,4,15,8,13,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2370
overweight,female,omnivore,more frequently,wood,public,,sometimes,215,frequently,1592,medium,6,13,26,4,No,"['Paper', 'Metal']",['Oven'],2227
normal,female,vegan,more frequently,wood,public,,sometimes,198,frequently,1379,large,2,0,0,22,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1194
underweight,female,vegetarian,daily,electricity,walk/bicycle,,never,85,never,77,extra large,2,11,39,9,No,['Paper'],[],925
normal,male,omnivore,twice a day,electricity,private,diesel,sometimes,111,rarely,8109,medium,4,5,23,14,No,['Plastic'],"['Oven', 'Grill', 'Airfryer']",3552
overweight,male,vegetarian,less frequently,electricity,walk/bicycle,,often,162,never,18,large,5,1,39,13,Sometimes,"['Paper', 'Glass']",[],1530
underweight,male,pescatarian,more frequently,wood,public,,sometimes,288,very frequently,1977,extra large,4,10,14,4,Sometimes,[],"['Oven', 'Grill', 'Airfryer']",3068
normal,male,pescatarian,less frequently,coal,walk/bicycle,,often,231,very frequently,5,small,3,18,43,3,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",3082
overweight,male,vegan,daily,natural gas,walk/bicycle,,never,79,frequently,42,large,2,20,6,3,Yes,"['Plastic', 'Glass']",[],1405
obese,female,vegetarian,daily,wood,private,electric,never,202,rarely,5743,extra large,4,1,5,12,Yes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1557
overweight,female,vegan,twice a day,coal,private,petrol,never,284,rarely,4994,large,1,19,36,21,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven']",3534
underweight,female,pescatarian,daily,electricity,public,,sometimes,190,frequently,1238,large,7,13,31,0,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1803
obese,male,vegan,daily,coal,private,lpg,never,291,frequently,4127,medium,3,18,21,21,Sometimes,"['Plastic', 'Glass', 'Metal']",['Oven'],3717
overweight,male,pescatarian,daily,natural gas,private,petrol,never,250,rarely,8264,extra large,2,19,14,13,Sometimes,['Paper'],['Microwave'],4952
obese,male,vegan,twice a day,electricity,public,,often,77,never,1564,extra large,1,24,24,19,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1223
normal,male,pescatarian,less frequently,coal,private,electric,never,281,frequently,6484,extra large,7,0,37,19,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2842
normal,male,vegan,twice a day,wood,walk/bicycle,,sometimes,130,rarely,46,extra large,1,18,27,12,Yes,"['Paper', 'Metal']","['Stove', 'Oven']",1184
overweight,female,omnivore,daily,coal,public,,often,120,frequently,919,extra large,1,0,3,4,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1729
overweight,female,omnivore,daily,wood,private,petrol,never,113,rarely,7762,extra large,6,14,6,5,Yes,"['Plastic', 'Glass', 'Metal']",[],4180
normal,female,vegetarian,twice a day,coal,public,,often,234,rarely,1140,large,7,3,50,17,Sometimes,['Metal'],"['Oven', 'Microwave']",2444
overweight,male,omnivore,daily,natural gas,walk/bicycle,,often,101,never,21,medium,2,6,20,19,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1150
overweight,male,omnivore,less frequently,electricity,private,petrol,sometimes,230,very frequently,4302,small,6,6,31,16,Sometimes,"['Glass', 'Metal']",[],4513
normal,male,omnivore,twice a day,electricity,walk/bicycle,,sometimes,223,never,96,extra large,2,15,1,4,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",615
overweight,female,omnivore,less frequently,wood,private,diesel,sometimes,192,frequently,7397,extra large,7,6,17,20,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven']",4426
obese,female,vegetarian,more frequently,electricity,public,,sometimes,111,rarely,1236,small,7,18,26,2,No,"['Plastic', 'Glass']","['Stove', 'Microwave']",1365
overweight,female,omnivore,twice a day,wood,walk/bicycle,,sometimes,144,rarely,6,large,1,10,50,20,Sometimes,"['Paper', 'Glass']",[],1563
normal,female,vegan,less frequently,wood,private,hybrid,often,80,never,3635,large,2,1,11,2,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",1265
obese,female,pescatarian,daily,coal,walk/bicycle,,often,123,very frequently,21,extra large,7,7,29,1,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",3813
obese,female,pescatarian,daily,natural gas,walk/bicycle,,never,164,very frequently,89,medium,4,13,36,8,Sometimes,['Plastic'],"['Oven', 'Microwave']",2689
underweight,female,pescatarian,more frequently,electricity,walk/bicycle,,often,85,very frequently,67,large,1,18,30,11,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1975
underweight,male,omnivore,more frequently,wood,walk/bicycle,,sometimes,64,never,38,extra large,4,2,22,10,Yes,['Glass'],['Stove'],1425
obese,male,vegan,twice a day,coal,walk/bicycle,,never,54,rarely,80,small,6,3,44,10,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1950
obese,female,pescatarian,more frequently,wood,public,,never,122,very frequently,934,small,4,1,48,22,Sometimes,"['Glass', 'Metal']","['Oven', 'Microwave']",2853
underweight,female,pescatarian,more frequently,electricity,public,,never,282,rarely,1964,small,2,18,38,20,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1465
overweight,female,pescatarian,more frequently,wood,public,,sometimes,292,frequently,171,medium,3,17,40,7,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",1935
underweight,female,vegetarian,daily,coal,private,hybrid,often,157,very frequently,6299,medium,5,8,41,18,No,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",3716
obese,female,omnivore,less frequently,coal,walk/bicycle,,sometimes,232,very frequently,57,large,1,17,5,22,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2613
obese,female,pescatarian,more frequently,natural gas,private,hybrid,never,91,rarely,6069,medium,3,20,7,9,No,[],[],2330
overweight,female,omnivore,daily,coal,private,hybrid,sometimes,141,frequently,2072,medium,6,1,3,1,No,"['Glass', 'Metal']",['Oven'],2138
overweight,female,pescatarian,twice a day,coal,walk/bicycle,,often,125,frequently,48,extra large,4,7,2,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2088
obese,female,omnivore,more frequently,coal,walk/bicycle,,never,220,very frequently,35,large,5,8,46,9,Sometimes,['Plastic'],"['Grill', 'Airfryer']",3764
obese,male,omnivore,less frequently,wood,public,,never,81,rarely,1520,extra large,7,13,30,7,Sometimes,"['Plastic', 'Glass']","['Grill', 'Airfryer']",2657
obese,female,omnivore,more frequently,electricity,public,,often,83,rarely,1031,small,2,4,30,15,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1313
underweight,female,omnivore,twice a day,natural gas,walk/bicycle,,never,285,frequently,1,extra large,2,10,35,4,Sometimes,['Metal'],"['Stove', 'Grill', 'Airfryer']",1906
obese,female,pescatarian,more frequently,wood,walk/bicycle,,often,233,very frequently,65,extra large,3,10,28,4,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",2993
underweight,female,vegetarian,daily,electricity,private,diesel,never,210,very frequently,6910,medium,3,16,32,11,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3230
obese,female,vegan,twice a day,coal,private,hybrid,often,143,very frequently,6258,large,1,9,12,19,Yes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",3671
normal,female,omnivore,less frequently,coal,public,,never,254,very frequently,71,large,3,12,32,22,No,"['Paper', 'Glass']","['Stove', 'Microwave']",2585
overweight,female,pescatarian,more frequently,natural gas,walk/bicycle,,never,195,never,46,extra large,3,22,1,20,Yes,['Paper'],"['Stove', 'Microwave']",1105
underweight,male,vegetarian,twice a day,wood,private,lpg,sometimes,96,rarely,7094,large,4,14,0,13,Sometimes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2840
overweight,female,vegan,daily,natural gas,walk/bicycle,,sometimes,254,rarely,79,extra large,2,14,3,20,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1052
overweight,male,omnivore,less frequently,electricity,private,petrol,often,139,rarely,3967,small,1,4,0,24,Yes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2475
normal,female,vegetarian,twice a day,natural gas,private,lpg,sometimes,212,rarely,3581,extra large,4,11,26,12,No,"['Paper', 'Metal']",['Microwave'],2320
normal,male,omnivore,twice a day,natural gas,private,hybrid,sometimes,191,never,477,small,2,7,32,3,No,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1455
normal,female,vegan,daily,coal,private,electric,never,175,frequently,1825,medium,2,1,27,24,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1581
underweight,male,vegan,more frequently,coal,private,diesel,never,166,never,7955,large,6,21,1,11,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",3065
obese,male,omnivore,twice a day,coal,walk/bicycle,,never,274,rarely,70,extra large,3,13,1,23,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave']",2074
obese,male,omnivore,more frequently,electricity,walk/bicycle,,sometimes,207,rarely,98,medium,4,21,15,3,Sometimes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1407
overweight,female,omnivore,daily,natural gas,walk/bicycle,,never,176,very frequently,21,extra large,2,4,35,19,No,"['Paper', 'Glass']",['Oven'],2723
obese,male,vegetarian,daily,electricity,walk/bicycle,,never,113,never,61,large,2,18,41,21,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1240
overweight,male,pescatarian,less frequently,coal,private,electric,sometimes,81,rarely,4360,small,6,22,28,18,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave']",1868
underweight,male,omnivore,more frequently,natural gas,private,diesel,never,229,never,8057,extra large,1,20,0,20,Sometimes,"['Paper', 'Glass', 'Metal']",['Oven'],2790
overweight,male,omnivore,more frequently,electricity,walk/bicycle,,sometimes,211,never,53,extra large,1,11,43,17,Sometimes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1629
normal,male,omnivore,twice a day,electricity,private,lpg,never,190,very frequently,6654,extra large,1,15,44,16,No,['Metal'],['Microwave'],4437
normal,female,vegetarian,twice a day,electricity,walk/bicycle,,often,195,never,39,extra large,7,0,49,16,No,[],['Oven'],2019
obese,female,vegan,daily,electricity,walk/bicycle,,often,143,very frequently,28,medium,1,16,11,4,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",1874
normal,female,vegetarian,daily,wood,private,diesel,never,155,frequently,166,medium,5,2,1,4,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1088
normal,female,vegetarian,more frequently,coal,public,,often,295,rarely,514,large,2,14,23,21,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1541
obese,male,vegetarian,less frequently,coal,private,hybrid,never,67,very frequently,3746,medium,1,15,16,21,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",3313
obese,female,vegetarian,twice a day,wood,private,petrol,never,213,frequently,8432,extra large,6,14,14,9,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",5439
overweight,female,vegetarian,daily,natural gas,private,diesel,never,50,frequently,1216,medium,3,10,15,17,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave'],1566
normal,male,pescatarian,twice a day,electricity,walk/bicycle,,never,93,very frequently,59,extra large,6,11,1,0,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2364
underweight,male,vegetarian,more frequently,natural gas,walk/bicycle,,never,221,never,19,extra large,7,14,31,19,Yes,['Paper'],['Stove'],1975
overweight,female,vegetarian,daily,coal,walk/bicycle,,sometimes,193,frequently,11,extra large,4,6,40,20,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],2342
underweight,male,vegetarian,less frequently,coal,walk/bicycle,,often,188,frequently,15,medium,4,1,22,3,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave']",2228
obese,male,vegetarian,daily,wood,public,,sometimes,250,rarely,1457,large,4,23,8,12,No,"['Paper', 'Plastic']",['Stove'],1801
obese,male,omnivore,more frequently,natural gas,public,,often,266,frequently,129,small,3,19,3,0,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",1857
normal,male,omnivore,less frequently,electricity,private,lpg,never,188,rarely,3103,small,6,5,0,0,Yes,"['Paper', 'Glass']",[],1561
overweight,male,vegetarian,less frequently,natural gas,walk/bicycle,,never,247,very frequently,20,small,6,24,12,1,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2528
underweight,female,omnivore,daily,electricity,walk/bicycle,,often,111,very frequently,44,large,6,0,29,22,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2100
underweight,male,omnivore,more frequently,electricity,walk/bicycle,,often,117,frequently,50,large,4,13,37,18,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1841
normal,female,vegetarian,less frequently,electricity,private,petrol,sometimes,168,very frequently,5779,medium,7,21,10,15,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave']",3963
underweight,male,vegan,daily,wood,public,,often,183,frequently,1257,large,3,15,49,3,Sometimes,"['Paper', 'Plastic']","['Stove', 'Microwave']",2269
overweight,male,vegetarian,twice a day,coal,walk/bicycle,,never,127,frequently,36,medium,3,10,11,7,Yes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1799
underweight,male,omnivore,daily,electricity,private,electric,never,149,very frequently,216,extra large,7,5,16,3,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2558
obese,male,pescatarian,more frequently,electricity,public,,never,143,frequently,997,large,7,15,36,13,Yes,[],['Stove'],2938
overweight,male,vegan,daily,wood,public,,never,166,frequently,250,medium,7,18,31,9,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2229
underweight,female,pescatarian,more frequently,natural gas,private,electric,sometimes,108,never,1066,large,6,18,4,12,Yes,"['Paper', 'Glass']",['Stove'],1043
overweight,female,omnivore,twice a day,electricity,walk/bicycle,,sometimes,226,never,38,extra large,6,3,29,20,No,['Paper'],['Oven'],1779
obese,male,pescatarian,twice a day,wood,public,,often,134,never,1510,medium,4,7,5,16,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1385
normal,male,pescatarian,less frequently,natural gas,private,electric,never,243,frequently,8162,small,7,15,7,14,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1702
normal,male,vegetarian,more frequently,wood,public,,often,274,frequently,1098,large,4,11,41,23,Yes,"['Glass', 'Metal']","['Stove', 'Microwave']",2525
overweight,female,pescatarian,twice a day,coal,walk/bicycle,,never,148,frequently,77,large,1,16,20,16,Sometimes,[],"['Stove', 'Oven']",1952
overweight,female,omnivore,daily,wood,public,,never,74,frequently,1233,medium,1,6,27,2,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1361
obese,female,pescatarian,less frequently,wood,walk/bicycle,,sometimes,183,frequently,55,extra large,4,17,23,2,Yes,['Metal'],['Oven'],2245
obese,female,vegetarian,twice a day,natural gas,private,petrol,often,163,rarely,6296,small,7,14,4,22,Sometimes,[],"['Stove', 'Oven']",3927
obese,male,omnivore,more frequently,wood,walk/bicycle,,never,162,never,53,large,2,6,5,19,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1012
normal,male,pescatarian,less frequently,coal,private,hybrid,never,299,very frequently,2670,extra large,1,4,26,6,Sometimes,['Plastic'],['Oven'],3202
normal,female,vegan,daily,coal,public,,sometimes,72,very frequently,575,small,7,23,25,16,No,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2359
obese,male,vegan,daily,coal,walk/bicycle,,never,166,very frequently,95,large,1,17,33,18,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",3569
underweight,male,pescatarian,daily,wood,public,,often,113,rarely,809,small,4,15,33,7,Yes,['Paper'],"['Stove', 'Oven']",1510
normal,female,pescatarian,more frequently,electricity,public,,often,182,very frequently,390,extra large,2,17,4,12,Yes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1928
obese,female,omnivore,daily,natural gas,public,,sometimes,237,never,1409,medium,3,3,49,14,Yes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1726
obese,female,vegan,twice a day,electricity,private,diesel,often,113,very frequently,8585,large,3,16,2,5,No,"['Paper', 'Glass']","['Grill', 'Airfryer']",4414
normal,female,vegetarian,more frequently,natural gas,private,lpg,never,253,very frequently,4444,small,6,21,28,0,No,"['Paper', 'Glass']","['Stove', 'Oven']",3257
underweight,male,vegetarian,twice a day,wood,walk/bicycle,,sometimes,53,rarely,98,large,6,12,50,23,Yes,"['Plastic', 'Glass']",[],2074
underweight,male,omnivore,daily,coal,public,,sometimes,70,never,1828,extra large,4,24,29,24,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave'],1617
obese,female,pescatarian,daily,electricity,public,,never,294,never,1557,medium,4,4,29,10,Yes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1568
overweight,female,vegetarian,less frequently,wood,public,,often,74,frequently,1099,medium,6,21,0,6,Yes,[],"['Oven', 'Microwave']",1749
underweight,female,vegan,twice a day,wood,private,diesel,often,178,very frequently,3956,small,7,16,46,24,Sometimes,['Glass'],"['Stove', 'Microwave']",3247
overweight,male,vegetarian,twice a day,wood,public,,often,242,very frequently,1718,medium,1,8,31,11,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2854
normal,female,pescatarian,daily,coal,public,,sometimes,169,frequently,442,large,5,18,13,23,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2012
overweight,female,vegetarian,less frequently,wood,public,,often,264,frequently,304,medium,1,19,8,21,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1530
obese,female,vegan,more frequently,electricity,walk/bicycle,,sometimes,242,frequently,8,large,7,0,9,18,No,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1897
underweight,female,omnivore,less frequently,coal,public,,sometimes,162,very frequently,1948,extra large,3,19,32,18,Yes,[],"['Stove', 'Oven', 'Microwave']",2749
normal,female,omnivore,less frequently,coal,walk/bicycle,,often,85,very frequently,64,medium,3,16,22,18,Sometimes,['Paper'],['Oven'],2552
obese,male,vegetarian,less frequently,coal,public,,never,135,frequently,1780,large,3,2,41,22,No,"['Plastic', 'Metal']",['Microwave'],2893
overweight,male,vegan,less frequently,electricity,walk/bicycle,,never,162,rarely,3,extra large,6,5,9,10,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1576
obese,female,vegan,more frequently,electricity,public,,often,221,frequently,888,extra large,6,13,6,2,Sometimes,"['Plastic', 'Metal']",[],1944
normal,male,vegetarian,daily,electricity,walk/bicycle,,never,184,very frequently,91,small,3,13,26,6,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2080
normal,male,pescatarian,more frequently,natural gas,walk/bicycle,,sometimes,76,frequently,45,medium,1,23,37,21,Sometimes,['Glass'],"['Stove', 'Oven', 'Microwave']",2058
underweight,male,vegetarian,more frequently,natural gas,walk/bicycle,,never,114,very frequently,79,large,1,24,32,9,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",2354
obese,male,vegan,twice a day,wood,private,lpg,sometimes,102,frequently,7337,small,5,6,32,9,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",4845
overweight,female,pescatarian,twice a day,natural gas,walk/bicycle,,sometimes,273,frequently,24,medium,6,9,41,1,No,"['Paper', 'Glass']","['Stove', 'Oven']",2266
underweight,female,pescatarian,twice a day,wood,private,electric,sometimes,50,very frequently,7475,medium,4,18,35,11,Sometimes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2118
obese,female,vegetarian,more frequently,natural gas,public,,sometimes,184,very frequently,1654,large,1,22,39,24,Yes,"['Paper', 'Glass', 'Metal']",['Oven'],2812
overweight,male,vegetarian,less frequently,natural gas,walk/bicycle,,often,273,frequently,2,medium,3,24,34,24,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",2286
obese,female,vegan,more frequently,electricity,public,,often,197,never,1423,large,4,23,42,11,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",1437
obese,male,vegan,daily,coal,public,,never,281,very frequently,920,small,2,5,30,7,No,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",3177
overweight,male,vegan,daily,wood,walk/bicycle,,never,180,frequently,79,small,3,7,2,23,Yes,"['Paper', 'Metal']","['Oven', 'Microwave']",1350
obese,male,omnivore,daily,natural gas,private,electric,never,221,never,5608,medium,1,4,12,9,Sometimes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1236
obese,female,vegan,less frequently,coal,walk/bicycle,,often,142,rarely,38,medium,7,7,21,23,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",1986
obese,male,vegan,more frequently,natural gas,public,,never,299,never,1660,extra large,7,2,1,18,Sometimes,['Metal'],[],2105
underweight,female,vegetarian,more frequently,coal,public,,often,74,never,697,medium,4,18,36,24,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1348
