Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
SUMO-USD,Sumokoin USD,0.015512,-9.9e-05,-0.63%,"817,197","1,666","1,666","1,666",52.681M
GALO-USD,Clube Atlético Mineiro Fan Token USD,0.362552,-0.157237,-30.25%,"816,733","152,185","152,185","152,185",2.253M
MSTR16948-USD,Monsterra (MSTR) USD,0.12132,0.000932,0.77%,"812,812","307,267","307,267","307,267",6.7M
YF-DAI-USD,YFDAI.FINANCE USD,203.69,-4.37,-2.10%,"811,918",1.634M,1.634M,1.634M,"3,986"
PLA4242-USD,PLANET USD,0.003594,-1.7e-05,-0.47%,"808,576",9,9,9,225M
BUY-USD,Burency USD,0.004168,-0.000136,-3.15%,"808,065","119,809","119,809","119,809",193.878M
SKILL-USD,CryptoBlades USD,0.873636,0.000524,0.06%,"807,282","70,284","70,284","70,284","924,049"
BIN-USD,Binemon USD,0.001934,1.3e-05,0.65%,"806,153","63,153","63,153","63,153",416.779M
ONSTON-USD,ONSTON USD,0.008221,-7.1e-05,-0.86%,"800,746","892,807","892,807","892,807",97.408M
ZDR-USD,Crypt2 Esports USD,0.147446,-0.001473,-0.99%,"800,000",2,2,2,5.426M
IGG-USD,IG Gold USD,0.00009,-2e-06,-2.07%,"798,777",23,23,23,8.857B
OWC-USD,Oduwacoin USD,0.19066,-0.036098,-15.92%,"798,654","6,938","6,938","6,938",4.189M
NAFT-USD,Nafter USD,0.000798,1.5e-05,1.92%,"796,156","13,246","13,246","13,246",997.658M
SYNC-USD,SYNC Network USD,0.006479,6e-06,0.09%,"793,869","1,462","1,462","1,462",122.526M
CRA-USD,Crabada USD,0.003098,-7e-05,-2.22%,"792,999","47,113","47,113","47,113",255.984M
ACQ-USD,Acquire.Fi USD,0.022627,0.008439,59.48%,"792,870","853,317","853,317","853,317",35.041M
PBX-USD,Probinex USD,0.001565,3.1e-05,2.04%,"792,690","137,763","137,763","137,763",506.393M
SMLY-USD,SmileyCoin USD,0.00005,7e-06,15.44%,"792,518",114,114,114,15.806B
XLT-USD,Nexalt USD,0.017108,-0.000388,-2.22%,"788,123","43,213","43,213","43,213",46.067M
WEST-USD,Waves Enterprise USD,0.018685,-0.001898,-9.22%,"784,122","101,809","101,809","101,809",41.966M
FYP-USD,FlypMe USD,0.044386,0.021897,97.37%,"782,902",0,0,0,17.639M
DRF-USD,DRIFE USD,0.000848,1.8e-05,2.17%,"782,398","9,684","9,684","9,684",923.03M
RDN-USD,Raiden Network Token USD,0.011687,-0.000225,-1.89%,"780,634","13,030","13,030","13,030",66.794M
LINKA-USD,LINKA USD,0.001117,-4e-06,-0.40%,"775,100","15,826","15,826","15,826",694.15M
TIPS-USD,FedoraCoin USD,0.00000363,-2.9e-07,-7.46%,"771,236","13,790","13,790","13,790",212.27B
BXC-USD,BonusCloud USD,0.00023,-1e-06,-0.53%,"772,394","263,074","263,074","263,074",3.352B
MOVE23359-USD,BlueMove USD,0.13978,-0.006635,-4.53%,"768,788","88,844","88,844","88,844",5.5M
LUFC-USD,Leeds United Fan Token USD,0.776353,-0.020073,-2.52%,"763,511","143,510","143,510","143,510","983,459"
BOB-USD,Bob's Repair USD,0.004153,-0.000277,-6.26%,"762,603",95,95,95,183.641M
ORB-USD,Orbcity USD,0.236723,-0.000944,-0.40%,"762,393",0,0,0,3.221M
HPB-USD,High Performance Blockchain USD,0.010396,-0.00037,-3.44%,"759,670","153,568","153,568","153,568",73.07M
ESS-USD,Essentia USD,0.000524,-9e-06,-1.76%,"748,047","14,095","14,095","14,095",1.429B
ETHO-USD,Etho Protocol USD,0.009566,0.000667,7.50%,"747,265","326,506","326,506","326,506",78.12M
PTOY-USD,Patientory USD,0.010649,0.001641,18.22%,"745,417","72,460","72,460","72,460",70M
KCCPAD-USD,KCCPAD USD,0.005469,4.9e-05,0.91%,"744,556",12,12,12,136.144M
TAU-USD,Lamden USD,0.005213,3.9e-05,0.74%,"741,377",179,179,179,142.216M
BLKC-USD,BlackHat USD,0.077989,0.00118,1.54%,"736,636","91,428","91,428","91,428",9.445M
FLIXX-USD,Flixxo USD,0.008704,-2.2e-05,-0.25%,"733,957",75,75,75,84.324M
BHC-USD,Billion Happiness USD,14.52,-0.52,-3.48%,"725,975","88,108","88,108","88,108","50,000"
RAIN-USD,Rainmaker Games USD,0.0019,-0.000249,-11.57%,"724,366","426,189","426,189","426,189",381.248M
PLANETS-USD,PlanetWatch USD,0.002268,5.6e-05,2.51%,"723,901","71,740","71,740","71,740",319.244M
GVT-USD,Genesis Vision USD,0.162037,0.044325,37.66%,"717,319",63,63,63,4.427M
WOOF-USD,WOOF USD,0.00004,-1e-06,-2.95%,"717,104","2,010","2,010","2,010",17.903B
BITS659-USD,Bitswift USD,0.184521,-0.003538,-1.88%,"716,797",87,87,87,3.885M
CFI-USD,CyberFi Token USD,0.29738,-0.031757,-9.65%,"713,710","22,472","22,472","22,472",2.4M
ATL-USD,ATLANT USD,0.013165,-0.000184,-1.38%,"713,217",2,2,2,54.175M
PHNX-USD,Phenix Finance (Polygon) USD,0.009515,0.000721,8.19%,"708,895","73,291","73,291","73,291",74.5M
TUP-USD,TenUp USD,0.022479,0.000586,2.68%,"708,636","310,294","310,294","310,294",31.524M
DOP9675-USD,Drops Ownership Power USD,0.597377,0.068169,12.88%,"702,535","349,569","349,569","349,569",1.176M
MIST9218-USD,Mist USD,0.012435,0.000169,1.38%,"700,813","155,097","155,097","155,097",56.357M
UPI-USD,Pawtocol USD,0.002712,9.7e-05,3.71%,"699,550","82,139","82,139","82,139",257.924M
PVU-USD,Plant Vs Undead USD,0.020604,0.001586,8.34%,"698,723","18,215","18,215","18,215",33.912M
PROPS-USD,Props Token USD,0.00136,-4.6e-05,-3.26%,"698,163","18,061","18,061","18,061",513.364M
GRLC-USD,Garlicoin USD,0.010259,0.001018,11.02%,"694,599",78,78,78,67.708M
GOB-USD,Goons of Balatroon USD,0.003589,4.3e-05,1.22%,"690,529","44,848","44,848","44,848",192.381M
BIS-USD,Bismuth USD,0.024049,-0.002371,-8.97%,"687,885",780,780,780,28.604M
MRX-USD,Metrix Coin USD,0.000038,-1e-06,-2.54%,"682,601",23,23,23,18.028B
HTML-USD,HTMLCOIN USD,0.000013,0.0,2.87%,"682,048",43,43,43,53.067B
VIDY-USD,VIDY USD,0.000069,0.0,0.01%,"678,122","58,890","58,890","58,890",9.889B
OXY-USD,Oxy-Fi USD,0.016717,-0.000593,-3.42%,"680,201","306,461","306,461","306,461",40.689M
AM-USD,Aston Martin Cognizant Fan Token USD,0.405896,-0.012472,-2.98%,"674,729","65,270","65,270","65,270",1.662M
SPORT20390-USD,SPORT USD,0.022943,-0.000167,-0.72%,"672,619","1,381","1,381","1,381",29.317M
THC-USD,HempCoin USD,0.002512,-0.00043,-14.63%,"671,983",46,46,46,267.468M
XMV-USD,MoneroV USD,0.248447,-0.000991,-0.40%,"670,808",4,4,4,2.7M
BP12293-USD,Beyond Protocol USD,0.004057,4.2e-05,1.05%,"669,665","103,805","103,805","103,805",165.06M
PERI-USD,PERI Finance USD,0.078539,-0.000452,-0.57%,"670,730","54,979","54,979","54,979",8.54M
MSU-USD,MetaSoccer USD,0.005709,7e-05,1.24%,"663,833","34,596","34,596","34,596",116.279M
HAKKA-USD,Hakka.Finance USD,0.001711,2.1e-05,1.23%,"663,970",35,35,35,388.018M
XPN-USD,PANTHEON X USD,0.00097,-2e-06,-0.16%,"660,390",89,89,89,680.786M
URQA-USD,UREEQA USD,0.023837,-0.000866,-3.51%,"660,288","1,035","1,035","1,035",27.7M
UMASK-USD,Unicly Hashmasks Collection USD,0.006549,-0.000105,-1.58%,"654,893",50,50,50,100M
GMD-USD,The Coop Network USD,0.003011,-4e-06,-0.13%,"652,630","142,476","142,476","142,476",216.777M
SHI-USD,Shirtum USD,0.003732,-2.7e-05,-0.73%,"648,710","84,764","84,764","84,764",173.823M
XLA-USD,Scala USD,0.000064,-1e-06,-1.05%,"648,554",439,439,439,10.202B
NRFB-USD,NuriFootBall USD,0.00311,0.000216,7.47%,"647,149","97,947","97,947","97,947",208.08M
TRAVA-USD,TRAVA.FINANCE USD,0.000523,-2.4e-05,-4.45%,"651,684","105,391","105,391","105,391",1.247B
TKS-USD,Tokes USD,0.003202,0.0,0.00%,"640,340",39,39,39,200M
ODIN-USD,ODIN PROTOCOL USD,0.036579,0.000954,2.68%,"638,999",563,563,563,17.469M
PLAY-USD,Playmusic USD,0.002568,-0.000139,-5.14%,"638,551","4,612","4,612","4,612",248.636M
YBO-USD,Young Boys Fan Token USD,0.462402,-0.008637,-1.83%,"638,166","17,200","17,200","17,200",1.38M
DMT-USD,DMarket USD,0.011166,-4.5e-05,-0.40%,"635,598",350,350,350,56.922M
SMART-USD,SmartCash USD,0.000447,-3e-05,-6.30%,"632,301",68,68,68,1.414B
UDO-USD,Unido EP USD,0.007189,-0.000102,-1.39%,"623,970","44,275","44,275","44,275",86.795M
UBXS-USD,UBXS Token USD,0.06989,0.004524,6.92%,"623,704","504,649","504,649","504,649",8.924M
PRCY-USD,PRivaCY Coin USD,0.042846,0.012651,41.90%,"619,903","70,115","70,115","70,115",14.468M
IXC-USD,Ixcoin USD,0.029032,-0.000116,-0.40%,"619,129",0,0,0,21.326M
IBFK-USD,İstanbul Başakşehir Fan Token USD,0.810146,-0.003312,-0.41%,"617,813","124,235","124,235","124,235","762,595"
ARCT-USD,ArbitrageCT USD,0.005862,-0.001144,-16.33%,"613,517",170,170,170,104.656M
FLP-USD,FLIP USD,0.01079,-0.000116,-1.07%,"603,734",10,10,10,55.955M
DDD-USD,Scry.info USD,0.001372,5e-05,3.80%,"603,552","13,206","13,206","13,206",440.057M
BXX-USD,Baanx USD,0.030312,-0.000374,-1.22%,"600,134","11,442","11,442","11,442",19.799M
DFT-USD,DraftCoin USD,0.068681,0.000883,1.30%,"598,614","12,324","12,324","12,324",8.716M
SPORE9468-USD,Spore USD,0,0.0,-2.95%,"598,728","1,560","1,560","1,560","33,280.155T"
KRB-USD,Karbo USD,0.062033,0.005399,9.53%,"597,735","1,054","1,054","1,054",9.636M
AGA-USD,AGA Token USD,0.055027,-0.001257,-2.23%,"596,653",22,22,22,10.843M
OMNI-USD,Omni USD,1.0551,0.0,0.00%,"594,116",10,10,10,"563,090"
GTON-USD,GTONCapital USD,0.163496,1.4e-05,0.01%,"593,506",1,1,1,3.63M
GEN-USD,DAOstack USD,0.012071,-0.000194,-1.58%,"591,806",310,310,310,49.029M
XPD-USD,PetroDollar USD,0.009212,-3.7e-05,-0.40%,"589,512",3,3,3,63.993M
YFL-USD,YF Link USD,10.76,-0.47,-4.16%,"586,645",21,21,21,"54,532"
ZCL-USD,ZClassic USD,0.063089,-0.003698,-5.54%,"585,908",33,33,33,9.287M
XFL-USD,Florin USD,4.2731,-0.2196,-4.89%,"585,049",863,863,863,"136,914"
XY-USD,XY Finance USD,0.06482,-0.000461,-0.71%,"583,148","38,424","38,424","38,424",8.996M
AAC-USD,Double-A Chain USD,0.002323,-2.2e-05,-0.94%,"580,810","970,673","970,673","970,673",250M
HOTCROSS-USD,Hot Cross USD,0.005091,1.8e-05,0.35%,"579,137","432,953","432,953","432,953",113.75M
XBC-USD,Bitcoin Plus USD,2.8156,-0.2145,-7.08%,"578,506",644,644,644,"205,466"
NFTY-USD,NFTY Token USD,0.002257,-2.2e-05,-0.95%,"578,300","17,947","17,947","17,947",256.259M
AYA-USD,Aryacoin USD,0.003587,0.00017,4.98%,"575,547","14,429","14,429","14,429",160.46M
DAVIS-USD,Davis Cup Fan Token USD,1.2547,-0.103,-7.58%,"572,274","52,709","52,709","52,709","456,097"
FCL-USD,Fractal USD,0.034386,0.00402,13.24%,"570,637","60,837","60,837","60,837",16.595M
FEX-USD,FidexToken USD,0.000018,0.0,-1.58%,"569,086",1,1,1,30.948B
BBANK-USD,blockbank USD,0.007028,0.000118,1.71%,"568,879","202,038","202,038","202,038",80.947M
LBP-USD,Launchblock.com USD,0.000483,-6e-06,-1.23%,"566,322","56,468","56,468","56,468",1.172B
ZAP-USD,Zap USD,0.0024,-1.8e-05,-0.73%,"566,785","3,195","3,195","3,195",236.144M
PTF-USD,PowerTrade Fuel USD,0.024093,0.006112,33.99%,"561,637","205,241","205,241","205,241",23.312M
PKR-USD,Polker USD,0.002896,-7.6e-05,-2.56%,"560,769","149,924","149,924","149,924",193.639M
CANN-USD,CannabisCoin USD,0.007258,-2.9e-05,-0.40%,"560,545",12,12,12,77.231M
PUMLX-USD,PUMLx USD,0.020354,-5.2e-05,-0.26%,"557,530","349,072","349,072","349,072",27.392M
HUSH-USD,Hush USD,0.046363,0.001801,4.04%,"555,983",253,253,253,11.992M
ELAND-USD,Etherland USD,0.017683,-0.003829,-17.80%,"548,611","45,355","45,355","45,355",31.024M
CRBN-USD,Carbon USD,0.016976,0.000789,4.88%,"546,964","19,177","19,177","19,177",32.22M
AG8-USD,AtromG8 USD,0.013007,-0.00035,-2.62%,"546,291",236,236,236,42M
NCDT-USD,Nuco.cloud USD,0.021828,3.3e-05,0.15%,"545,691","47,994","47,994","47,994",25M
APIX-USD,APIX USD,0.004182,-0.00025,-5.64%,"544,064","34,965","34,965","34,965",130.089M
CYC-USD,Cyclone Protocol USD,20.67,-0.47,-2.24%,"543,377",287,287,287,"26,282"
PLOT-USD,Earncraft USD,0.008133,-0.000142,-1.71%,"539,395","329,818","329,818","329,818",66.319M
KCASH-USD,Kcash USD,0.001209,-0.000224,-15.62%,"538,653",1.393M,1.393M,1.393M,445.499M
EUNO-USD,EUNO USD,0.000079,0.0,-0.40%,"538,503",210,210,210,6.841B
PPAY-USD,Plasma Finance USD,0.004373,0.000233,5.62%,"538,442",123,123,123,123.116M
HYPE-USD,Supreme Finance USD,0.001072,1.5e-05,1.42%,"535,786","33,779","33,779","33,779",500M
CRWNY-USD,Crowny USD,0.001163,-1.2e-05,-1.06%,"537,438","293,988","293,988","293,988",462.192M
BTB-USD,BitBall USD,0.000881,0.000413,88.25%,"534,744","180,131","180,131","180,131",606.693M
FYD-USD,FYDcoin USD,0.000837,-3e-06,-0.40%,"531,810",0,0,0,635.025M
DEXA-USD,DEXA COIN USD,0.000021,0.0,0.32%,"529,588","116,752","116,752","116,752",25B
NBOT-USD,Naka Bodhi Token USD,0.007499,0.00018,2.46%,"524,920","15,465","15,465","15,465",70M
BIX-USD,Bibox Token USD,0.006122,7.1e-05,1.17%,"523,018","205,397","205,397","205,397",85.431M
BOLLY-USD,BollyCoin USD,0.013102,0.0,0.00%,"521,195",6,6,6,39.781M
YAE-USD,Cryptonovae USD,0.007031,-0.000134,-1.87%,"519,134","16,223","16,223","16,223",73.833M
ZOON-USD,CryptoZoon USD,0.000713,-1e-05,-1.37%,"514,639","60,452","60,452","60,452",722.063M
SWOP-USD,Swop USD,0.170251,-0.000307,-0.18%,"513,969","16,065","16,065","16,065",3.019M
BALPHA-USD,bAlpha USD,28.46,-2.72,-8.72%,"512,351","11,231","11,231","11,231","18,000"
CSP-USD,Caspian USD,0.001138,-1.1e-05,-0.97%,"510,946","3,842","3,842","3,842",449.036M
AVL-USD,Aston Villa Fan Token USD,0.564806,0.006704,1.20%,"510,481","65,913","65,913","65,913","903,818"
SAUBER-USD,Alfa Romeo Racing ORLEN Fan Token USD,0.30711,0.023381,8.24%,"509,783","128,388","128,388","128,388",1.66M
ICNQ-USD,Iconic Token USD,0.051412,-0.000662,-1.27%,"504,318",733,733,733,9.809M
SPFC-USD,Sao Paulo FC Fan Token USD,0.258835,-0.016808,-6.10%,"503,952","76,892","76,892","76,892",1.947M
LML-USD,Link Machine Learning USD,0.004197,2.6e-05,0.61%,"503,639",153,153,153,120M
VIBE-USD,VIBE USD,0.001935,-1.4e-05,-0.73%,"503,253",61,61,61,260.136M
LBA-USD,Cred USD,0.000507,-6.8e-05,-11.80%,"501,989","55,043","55,043","55,043",990.41M
NBC-USD,Niobium Coin USD,0.007989,0.003632,83.34%,"501,936","469,773","469,773","469,773",62.828M
DAPS-USD,DAPS Coin USD,0.00000865,-3e-08,-0.40%,"501,727",17,17,17,57.978B
DEV-USD,Dev Protocol USD,0.445538,-0.063126,-12.41%,"498,113",0,0,0,1.118M
INXT-USD,Internxt USD,0.443703,-0.004725,-1.05%,"496,633","263,976","263,976","263,976",1.119M
POT-USD,X Protocol USD,0.004292,0.000823,23.73%,"494,503",36,36,36,115.227M
PMA-USD,PumaPay USD,0.000016,0.0,0.00%,"494,020",0,0,0,31.732B
PLC-USD,Pluton Chain USD,0.097639,-0.009337,-8.73%,"488,301","17,558","17,558","17,558",5.001M
BHO-USD,BHO Network USD,0.001063,-0.000102,-8.74%,"482,443","91,895","91,895","91,895",454M
COGI-USD,COGI USD,0.007858,-0.000185,-2.29%,"483,948",578,578,578,61.587M
KEX-USD,Kira Network USD,0.038541,0.000587,1.55%,"482,995","344,364","344,364","344,364",12.532M
OPEN-USD,Open Data Protocol USD,0.000455,-1.1e-05,-2.29%,"483,330","15,645","15,645","15,645",1.062B
QRK-USD,Quark USD,0.001675,-0.000287,-14.65%,"480,422",2,2,2,286.883M
EVRY-USD,EVRYNET USD,0.011782,-0.00061,-4.92%,"475,845","12,577","12,577","12,577",40.389M
UMX-USD,UniMex Network USD,0.049252,-0.001129,-2.24%,"473,852",607,607,607,9.621M
USDS-USD,Stably USD USD,1.025,0.0,0.00%,"473,526","1,032","1,032","1,032","461,967"
BCA-USD,Bitcoin Atom USD,0.025678,0.001293,5.30%,"472,955",8,8,8,18.419M
BMON-USD,Binamon USD,0.004092,-6e-06,-0.15%,"472,478","64,197","64,197","64,197",115.454M
MASS-USD,Massnet USD,0.004799,-2.1e-05,-0.44%,"470,471","62,010","62,010","62,010",98.026M
WINGS-USD,Wings USD,0.004683,-2.2e-05,-0.46%,"468,294",413,413,413,100M
MIT-USD,Galaxy Blitz USD,0.130567,-0.040532,-23.69%,"468,389",56,56,56,3.587M
RAINBOW-USD,Rainbow Token USD,0,0.0,-9.07%,"468,280",323,323,323,860.398T
CNTR-USD,Centaur USD,0.000114,-4e-06,-3.08%,"467,303","14,749","14,749","14,749",4.096B
SKU-USD,Sakura USD,0.008778,-0.001093,-11.07%,"465,239","99,697","99,697","99,697",53M
AMON-USD,AmonD USD,0.000554,-7e-06,-1.25%,"465,422","1,110","1,110","1,110",839.682M
EFC-USD,Everton Fan Token USD,0.497286,-0.014211,-2.78%,"462,556","65,225","65,225","65,225","930,163"
RYO-USD,Ryo Currency USD,0.010327,-0.000604,-5.53%,"461,474",413,413,413,44.687M
NGM-USD,e-Money USD,0.023031,-0.000294,-1.26%,"455,091","110,797","110,797","110,797",19.76M
MOBIC-USD,Mobility Coin USD,0.034895,-0.009271,-20.99%,"435,137","55,444","55,444","55,444",12.47M
AZ-USD,Azbit USD,0.00000643,3.2e-07,5.16%,"448,446",118,118,118,69.75B
WATCH-USD,yieldwatch USD,0.022957,-0.000207,-0.89%,"448,239",185,185,185,19.526M
PASC-USD,Pascal USD,0.01126,0.001596,16.51%,"444,996",75,75,75,39.521M
LOG-USD,Woodcoin USD,0.055263,-0.000233,-0.42%,"444,048","29,450","29,450","29,450",8.035M
OST-USD,OST USD,0.000555,2e-06,0.42%,"443,530","15,501","15,501","15,501",798.532M
MTN-USD,Medicalchain USD,0.00138,2.9e-05,2.12%,"442,823","16,228","16,228","16,228",320.949M
AID-USD,AidCoin USD,0.010399,-4.8e-05,-0.46%,"442,463",137,137,137,42.547M
BLAST9967-USD,SafeBlast USD,0,0.0,-1.19%,"439,270","170,846","170,846","170,846",175.553T
HPT-USD,Huobi Pool Token USD,0.000082,-1e-06,-0.97%,"437,535",21,21,21,5.329B
XCASH-USD,X-CASH USD,0.00000694,3.7e-07,5.69%,"436,196",109,109,109,62.82B
ING-USD,Infinity Games USD,0.000872,-3.7e-05,-4.06%,"435,870","572,336","572,336","572,336",500.134M
HMQ-USD,Humaniq USD,0.002331,-0.00021,-8.25%,"433,202","30,655","30,655","30,655",185.812M
UCH-USD,Universidad de Chile Fan Token USD,0.456474,-0.026569,-5.50%,"436,000","19,698","19,698","19,698","955,149"
BHD-USD,BitcoinHD USD,0.071076,-0.001406,-1.94%,"432,359","108,547","108,547","108,547",6.083M
KGO-USD,KIWIGO USD,0.010078,0.001673,19.90%,"427,682",4,4,4,42.438M
HGET-USD,Hedget USD,0.242142,0.013687,5.99%,"424,098","154,262","154,262","154,262",1.751M
IETH-USD,iEthereum USD,0.023494,-0.040334,-63.19%,"422,891",29,29,29,18M
SATT-USD,SaTT USD,0.00013,1e-06,0.42%,"422,815","35,729","35,729","35,729",3.245B
ZEFU-USD,Zenfuse USD,0.006513,-5e-05,-0.76%,"422,675",99,99,99,64.899M
CPO-USD,Cryptopolis USD,0.004767,0.000351,7.94%,"423,829","37,736","37,736","37,736",88.914M
SNET-USD,Snetwork USD,0.001766,4.4e-05,2.55%,"421,352","13,036","13,036","13,036",238.604M
ALA12649-USD,Alanyaspor Fan Token USD,0.523557,-0.018519,-3.42%,"421,635","36,491","36,491","36,491","805,330"
DMG-USD,DMM: Governance USD,0.008404,0.000857,11.35%,"421,656","48,619","48,619","48,619",50.172M
BHP-USD,BHPCoin USD,0.020783,0.0,0.00%,"419,343","40,146","40,146","40,146",20.178M
AZY-USD,Amazy USD,0.010236,-0.000148,-1.42%,"418,915","519,793","519,793","519,793",40.924M
LANC-USD,Lanceria USD,0.001559,0.000279,21.76%,"419,713","20,411","20,411","20,411",269.153M
DRC7420-USD,Digital Reserve Currency USD,0.000412,-6e-06,-1.36%,"412,014","1,220","1,220","1,220",1B
MTLX-USD,Mettalex USD,0.366372,-0.01456,-3.82%,"411,436","5,912","5,912","5,912",1.123M
XCUR-USD,Curate USD,0.048609,-0.001025,-2.06%,"410,796","194,133","194,133","194,133",8.451M
EZ-USD,EasyFi USD,0.064429,0.001264,2.00%,"410,648","15,233","15,233","15,233",6.374M
DOGEC-USD,DogeCash USD,0.019537,0.002721,16.18%,"410,385",193,193,193,21.005M
D-USD,Denarius USD,0.047839,0.002363,5.20%,"408,438",370,370,370,8.538M
SWACE-USD,Swace USD,0.000789,-2e-06,-0.23%,"404,909",19,19,19,513.293M
BANK8612-USD,Float Protocol (Bank) USD,1.42,-0.0169,-1.18%,"403,911","12,612","12,612","12,612","284,442"
APPC-USD,AppCoins USD,0.00168,-2.7e-05,-1.60%,"402,931",3,3,3,239.806M
L2-USD,Leverj Gluon USD,0.001839,-3e-06,-0.17%,"402,949",185,185,185,219.091M
MSWAP-USD,MoneySwap USD,0.000299,-4e-06,-1.29%,"402,693","285,163","285,163","285,163",1.348B
RATING-USD,DPRating USD,0.000186,1e-06,0.39%,"398,920","13,905","13,905","13,905",2.14B
OCN-USD,Odyssey USD,0.00005,-1e-06,-2.47%,"400,885","26,309","26,309","26,309",8B
CAT-USD,Cat Token USD,0.06153,0.0,0.00%,"401,644",982,982,982,6.528M
LKR-USD,Lokr USD,0.015705,-0.00068,-4.15%,"402,484","296,566","296,566","296,566",25.628M
GTC-USD,Game.com USD,0.000525,-9e-06,-1.72%,"399,642","18,274","18,274","18,274",761.444M
OPIUM-USD,Opium USD,0.096005,-0.000759,-0.78%,"399,496","25,011","25,011","25,011",4.161M
STV-USD,Sint-Truidense Voetbalvereniging Fan Token USD,1.571,-0.1044,-6.23%,"396,306","52,815","52,815","52,815","252,264"
UFR-USD,Upfiring USD,0.016467,-6.9e-05,-0.42%,"395,213",14,14,14,24M
VBCH-USD,Venus BCH USD,2.5449,-0.0072,-0.28%,"392,911","4,226","4,226","4,226","154,392"
KABY-USD,Kaby Arena USD,0.000567,8e-06,1.44%,"392,805","15,390","15,390","15,390",692.308M
RET-USD,RealTract USD,0.000037,-1e-06,-1.60%,"389,728",43,43,43,10.6B
CURE-USD,Curecoin USD,0.013919,-5.9e-05,-0.42%,"387,511",0,0,0,27.841M
HIT-USD,HitChain USD,0.00000629,3.6e-07,6.02%,"386,256","1,822","1,822","1,822",61.44B
PAK-USD,Pakcoin USD,0.005628,0.000135,2.46%,"386,044","5,728","5,728","5,728",68.595M
ORARE-USD,OneRare USD,0.043061,-0.001088,-2.46%,"385,802","167,610","167,610","167,610",8.96M
ELEC-USD,Electrify.Asia USD,0.000725,-2.4e-05,-3.18%,"384,045","15,133","15,133","15,133",529.592M
AVA22733-USD,Avatly USD,0.001987,0.000126,6.75%,"380,832","104,414","104,414","104,414",191.643M
DAPP-USD,LiquidApps USD,0.000533,-3.2e-05,-5.71%,"378,611",95,95,95,709.902M
KTON-USD,Darwinia Commitment Token USD,7.6044,0.3094,4.24%,"377,790","21,982","21,982","21,982","49,680"
VNLA-USD,Vanilla Network USD,0.471516,-0.002368,-0.50%,"374,552",9,9,9,"794,357"
HGOLD-USD,HollyGold USD,0.080634,-0.000425,-0.52%,"373,957",790,790,790,4.638M
PST-USD,Primas USD,0.006965,0.000816,13.27%,"367,029","554,108","554,108","554,108",52.693M
SKM-USD,Skrumble Network USD,0.000356,-9e-06,-2.44%,"364,032","15,618","15,618","15,618",1.022B
PWAR-USD,PolkaWar USD,0.004334,-0.000459,-9.58%,"358,927","170,579","170,579","170,579",82.822M
WTN-USD,Waletoken USD,0.000018,0.0,-1.60%,"366,173",0,0,0,19.919B
WABI-USD,Wabi USD,0.00366,0.000854,30.44%,"365,961","1,647","1,647","1,647",100M
X8X-USD,X8X Token USD,0.004414,-2e-05,-0.46%,"364,247",361,361,361,82.522M
BTO-USD,Bottos USD,0.000666,8e-06,1.22%,"363,606","17,076","17,076","17,076",546M
GDAO-USD,Governor DAO USD,0.124664,-0.194853,-60.98%,"362,708","13,071","13,071","13,071",2.909M
LFW-USD,Linked Finance World USD,0.011195,0.000304,2.79%,"358,381","72,877","72,877","72,877",32.013M
PYM-USD,Playermon USD,0.001798,1.5e-05,0.86%,"358,122","184,371","184,371","184,371",199.176M
COFI-USD,CoinFi USD,0.001669,7.2e-05,4.53%,"357,842","13,239","13,239","13,239",214.403M
NANJ-USD,NANJCOIN USD,0.000018,0.0,-1.60%,"355,937",4,4,4,19.362B
PIAS-USD,PIAS USD,0.008609,-0.001254,-12.72%,"353,166","763,831","763,831","763,831",41.022M
ROYA-USD,Royale Finance USD,0.005651,-0.000277,-4.68%,"351,938","6,213","6,213","6,213",62.278M
GMAT-USD,GoWithMi USD,0.000129,2e-06,1.30%,"351,011","12,589","12,589","12,589",2.724B
MIBR-USD,MIBR Fan Token USD,0.35098,-0.01113,-3.07%,"351,157",77,77,77,1.001M
DTA-USD,DATA USD,0.00003,-1e-06,-3.12%,"350,469","206,771","206,771","206,771",11.5B
DWEB-USD,DecentraWeb USD,0.104343,0.001591,1.55%,"350,302","13,657","13,657","13,657",3.357M
DAPPX-USD,dAppstore USD,0.00215,-5.7e-05,-2.59%,"348,401","88,955","88,955","88,955",162.04M
TYPE-USD,Typerium USD,0.000215,-8.6e-05,-28.67%,"348,836",0,0,0,1.625B
DXL-USD,Dexlab USD,0.006621,0.000248,3.89%,"347,762","3,566","3,566","3,566",52.527M
ONX12816-USD,ownix USD,0.105054,-7e-06,-0.01%,"346,677",6,6,6,3.3M
FNDZ-USD,FNDZ USD,0.006963,-5.9e-05,-0.83%,"346,466","181,459","181,459","181,459",49.755M
STND-USD,Standard USD,0.025551,-0.00157,-5.79%,"343,079","237,534","237,534","237,534",13.427M
APY-USD,APY.Finance USD,0.005098,0.000964,23.34%,"338,834",301,301,301,66.47M
HELMET-USD,Helmet.insure USD,0.007867,5.4e-05,0.69%,"338,088","45,379","45,379","45,379",42.974M
IRD-USD,Iridium USD,0.013955,0.002183,18.55%,"336,769",523,523,523,24.132M
